Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
TMEM173,14.928668818675941,1.3984883487175736e-11,930.0256605833334,235.338219875,2.888680851449414e-09,1.9779679750649342
OSBPL7,20.41654201114173,1.463541868840971e-11,411.4438462916667,96.68984633333335,2.9742947657090697e-09,2.077917187056955
WWP1,26.8014086012606,1.5070376540013234e-11,1020.3184180833332,250.28272248333332,3.0140753080026467e-09,2.023049343742608
SNRK,14.804663491892855,1.6098269645993634e-11,1302.8958774999999,460.467980625,3.122320632304723e-09,1.4985262141221245
S1PR4,18.78969081773508,1.6107209611095792e-11,802.7104495000001,137.68636558333333,3.122320632304723e-09,2.5348498777097612
ZNF385A,15.515115016572869,1.7360675540266055e-11,216.1458939166667,94.76373971666666,3.3143107849598834e-09,1.1811132747690811
CKAP5,23.368775965553596,1.9017469858760645e-11,729.4338501916667,274.95926641666665,3.4231445745769158e-09,1.4042982945891183
CAPZA1,14.909526687392177,1.890918596691474e-11,1660.3061344166665,426.5970615833333,3.4231445745769158e-09,1.9579941039127746
NKIRAS2,-15.673741561402078,1.8785331136763642e-11,113.04573419642857,219.32087198809526,3.4231445745769158e-09,-0.9499936898825361
CORO1A,17.79504624927663,1.8278094321666997e-11,3620.9866155000004,811.5295392500001,3.4231445745769158e-09,2.156289047229519
ATP2B4,16.20849433292511,1.9487235674824576e-11,602.3771966666666,127.44809405000001,3.4582981620111218e-09,2.231874690711913
PRKCD,14.611098880338625,2.061781520273842e-11,1638.5511351666664,844.5509372500001,3.608117660479224e-09,0.9553373254823718
PCED1B,19.68798624629439,2.0956189473993156e-11,985.495355,190.53029441666664,3.6170957174289558e-09,2.3647396561079583
PBXIP1,14.698384850588338,2.3030045923602407e-11,160.07960255833333,61.61276216666666,3.6892012671758368e-09,1.363245165415373
ITK,37.98877994934713,2.310129555102858e-11,1943.6803925,67.43358550416666,3.6892012671758368e-09,4.828684720266604
SVIL,21.020441024562626,2.203306486010557e-11,292.966427875,93.97504466666666,3.6892012671758368e-09,1.6300310125066586
STK10,15.159882242980542,2.3423500109052932e-11,496.49343858333333,205.852426875,3.6892012671758368e-09,1.2660756142025607
