Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
APOL3,13.182010937736571,1.9197449152101226e-06,623.1868106666667,144.17567133333333,0.00019190071970058876,2.1041781673324893
PDP1,16.524047559319484,2.1381666522702762e-06,270.29510516666664,87.21333866666666,0.00019294476029029658,1.620794291949787
SYPL1,12.133429079628227,2.0533200437111674e-06,606.7931296666667,192.8551725,0.00019294476029029658,1.6486011370972635
FTSJ3,-13.824183539834772,2.1268406792050328e-06,89.51878710000001,224.28107299999996,0.00019294476029029658,-1.3154369520144744
CUTA,12.883978742991156,2.0268366203363226e-06,1168.7544266666669,356.2946476666666,0.00019294476029029658,1.7110194808705348
MAFB,37.24786719626646,2.085659105380878e-06,746.1640033333333,58.781811133333335,0.00019294476029029658,3.6436464406641473
EIF4EBP2,12.370552206005662,1.9573744308339754e-06,501.7398346666667,199.8928166666667,0.00019294476029029658,1.323386027238497
SH3BGRL3,20.47729381935299,2.044187013703499e-06,3384.3653949999994,458.49943399999995,0.00019294476029029658,2.8811765680604786
PTRH2,-13.080811166593877,1.9844864038053104e-06,209.01815746666665,631.9925000000001,0.00019294476029029658,-1.5916743421431159
PXYLP1,12.159800349997164,2.0527134579195596e-06,119.036698,62.0746,0.00019294476029029658,0.9283444813643333
TP53INP1,12.288922242178069,2.1073140976917633e-06,715.2514800000001,206.4969226666667,0.00019294476029029658,1.7873762745524227
CBR4,12.505789139000875,2.0296973742226255e-06,262.477764,94.2998825,0.00019294476029029658,1.4671348714013712
PCMTD2,15.845098259224386,2.019670151770172e-06,500.60144999999994,110.20500000000001,0.00019294476029029658,2.173319862619633
TOMM40,-13.459169521421519,2.090826624155624e-06,447.4021113333333,1024.9631663333334,0.00019294476029029658,-1.1941139605838114
CMTR1,-13.269527710122423,2.1283059818504965e-06,237.09099799999998,408.5780106666667,0.00019294476029029658,-0.7826251876490495
PRKCD,12.05804431715745,2.1952233977733502e-06,1626.3695136666665,747.4881014,0.00019679022380302415,1.1204905820527813
PRKAR1A,13.097747233859042,2.2467122591595e-06,3542.770158333333,927.7020335,0.0002000895506098519,1.931997337704214
AKR7A3,11.943282165315757,2.3341476189085826e-06,288.75296266666663,105.69991933333333,0.000206526593865249,1.4412643271136298
CD27,21.420317807216673,2.468458855550516e-06,566.3933073333333,59.05136733333334,0.0002066534294198829,3.240080132745395
ZBED4,-15.614457039882472,2.4793691377038425e-06,142.5687013333333,356.1697623333333,0.0002066534294198829,-1.3148686793926467
ATL3,-28.37508052538722,2.485413970147456e-06,129.60399533333333,747.672957,0.0002066534294198829,-2.5191366121106356
FRAT1,15.0649042851696,2.410940409752739e-06,105.84619266666667,53.741337333333334,0.0002066534294198829,0.9648329148904411
PPP1R18,13.109802159719653,2.47984908214343e-06,1957.8878648000002,789.6992416666668,0.0002066534294198829,1.3088338677528366
SPI1,13.617833165928372,2.4478142604279356e-06,959.9986786666666,324.4501151666667,0.0002066534294198829,1.5620980226027594
